EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
DONATO TECHNOLOGIES INC,DATA ENGINEER,"90,420","IRVING, TX",06/01/2022,06/07/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"90,420","IRVING, TX",06/04/2022,10/01/2022
VTECHINFO INC,DATA ENGINEER,"90,420","EIDEN PRAIRIE, MN",06/08/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"90,420","DENTON, TX",06/09/2022,10/01/2022
VASANTAS SOFTWARE INC,DATA ENGINEER,"90,420","IRVING, TX",06/09/2022,10/01/2022
CONCOR IT SOLUTIONS INC,DATA ENGINEER,"90,420","IRVING, TX",06/10/2022,10/01/2022
PROGRITE SYSTEMS INC,DATA ENGINEER,"90,420","PLANO, TX",06/10/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"91,140","HAMPTON, NH",04/23/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"91,140","HAMPTON, NH",05/13/2022,10/01/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"91,320","FRANKLIN, TN",03/15/2022,03/15/2022
EYVATEK LLC,DATA ENGINEER,"91,340","MASON, OH",12/21/2022,12/21/2022
AMGEN INC,DATA ENGINEER,"91,360","TAMPA, FL",02/15/2022,08/03/2022
GVKTEK INC,DATA ENGINEER,"91,520","BLUE ASH, OH",05/21/2022,10/01/2022
AMERICAN PROFESSIONALS INC,DATA ENGINEER,"91,660","BLOOMINGTON, MN",10/21/2022,10/21/2022
PURPLE WEB INC,DATA ENGINEER,"92,000","PEORIA, IL",07/11/2022,10/01/2022
CODE ACUITY INC,DATA ENGINEER,"92,000","PLANO, TX",03/14/2022,03/28/2022
CODE ACUITY INC,DATA ENGINEER,"92,000","IRVING, TX",03/27/2022,04/07/2022
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"92,020","WILMINGTON, DE",07/18/2022,07/27/2022
SUMMIT HUMAN CAPITAL,DATA ENGINEER,"92,400","JERSEY CITY, NJ",11/04/2022,11/09/2022
HARVEY NASH INC,DATA ENGINEER,"93,000","KEARNY, NJ",05/02/2022,10/01/2022
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"93,180","LOS ANGELES, CA",04/18/2022,10/01/2022
ZENSPACE IT LLC,DATA ENGINEER,"93,180","SANTA MONICA, CA",05/15/2022,10/01/2022
POPULUS GROUP LLC,DATA ENGINEER,"93,780","EDINA, MN",07/08/2022,07/18/2022
CLOUDSPACE LLC,DATA ENGINEER,"94,760","VIENNA, VA",04/22/2022,10/01/2022
CLOUDSPACE LLC,DATA ENGINEER,"94,760","NEWORLEANS, LA",05/05/2022,10/01/2022
UI PATH TEK LLC,DATA ENGINEER,"94,760","FAIRFAX, VA",05/06/2022,10/01/2022
TEKNXPERT LLC,DATA ENGINEER,"94,760","FAIRFAX, VA",05/20/2022,10/01/2022
FIRST CONSULTING GROUP LLC,DATA ENGINEER,"94,760","STERLING, VA",05/20/2022,06/06/2022
SAS INFO INC,DATA ENGINEER,"94,760","MCLEAN, VA",05/26/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"94,760","MCLEAN, VA",06/01/2022,10/01/2022
CLOUD SPACE LLC,DATA ENGINEER,"94,760","FAIRFAX, VA",06/02/2022,10/01/2022
SAS INFO INC,DATA ENGINEER,"94,760","MCLEAN, VA",06/03/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"94,760","MCLEAN, VA",06/04/2022,10/01/2022
SHRIVE SOLUTIONS LLC,DATA ENGINEER,"94,760","MCLEAN, VA",06/07/2022,10/01/2022
SEER SOLUTIONS INC,DATA ENGINEER,"94,760","STERLING, VA",06/08/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"94,760","ALDIE, VA",06/10/2022,10/01/2022
TEK NINJAS SOLUTIONS LLC,DATA ENGINEER,"94,980","SAN FRANCISCO, CA",04/07/2022,10/01/2022
XENONINFOTEK INC,DATA ENGINEER,"95,100","DETROIT, MI",11/10/2022,11/10/2022
TECSPIRIT CORP,DATA ENGINEER,"95,100","IRVING, TX",07/29/2022,08/05/2022
EQUITAS IT INC,DATA ENGINEER,"95,100","PROSPER, TX",08/12/2022,08/17/2022
IP HEIGHTS LLC,DATA ENGINEER,"95,100","DES MOINES, IA",11/01/2022,11/01/2022
GRAVITON SOLUTIONS INC,DATA ENGINEER,"95,100","FRISCO, TX",09/01/2022,09/06/2022
